ID Year,Year,ID Region,Region,ID Comuna,Comuna,Number of visas
2005,2005,1,Tarapacá,5,Alto Hospicio,2.0
2005,2005,1,Tarapacá,113,Iquique,289.0
2005,2005,2,Antofagasta,9,Antofagasta,28.0
2005,2005,2,Antofagasta,19,Calama,12.0
2005,2005,2,Antofagasta,321,Tocopilla,1.0
2005,2005,3,Atacama,68,Copiapó,7.0
2005,2005,3,Atacama,109,Huasco,1.0
2005,2005,3,Atacama,330,Vallenar,2.0
2005,2005,4,Coquimbo,7,Andacollo,1.0
2005,2005,4,Coquimbo,69,Coquimbo,8.0
2005,2005,4,Coquimbo,126,La Serena,15.0
2005,2005,4,Coquimbo,192,Ovalle,1.0
2005,2005,5,Valparaíso,151,Los Andes,1.0
2005,2005,5,Valparaíso,252,Quillota,6.0
2005,2005,5,Valparaíso,253,Quilpué,5.0
2005,2005,5,Valparaíso,279,San Antonio,6.0
2005,2005,5,Valparaíso,285,San Felipe,5.0
2005,2005,5,Valparaíso,331,Valparaiso,9.0
2005,2005,5,Valparaíso,337,Villa Alemana,1.0
2005,2005,5,Valparaíso,339,Viña Del Mar,31.0
2005,2005,6,O'Higgins,259,Rancagua,7.0
2005,2005,6,O'Higgins,265,Rengo,3.0
2005,2005,6,O'Higgins,304,Santa Cruz,1.0
2005,2005,7,Maule,34,Cauquenes,1.0
2005,2005,7,Maule,79,Curicó,1.0
2005,2005,7,Maule,275,Romeral,1.0
2005,2005,7,Maule,311,Talca,1.0
2005,2005,8,Biobío,11,Arauco,1.0
2005,2005,8,Biobío,18,Cabrero,1.0
2005,2005,8,Biobío,43,Chillán,10.0
2005,2005,8,Biobío,44,Chillán Viejo,1.0
2005,2005,8,Biobío,64,Concepción,40.0
2005,2005,8,Biobío,107,Hualqui,2.0
2005,2005,8,Biobío,152,Los Angeles,4.0
2005,2005,8,Biobío,251,Quillón,1.0
2005,2005,8,Biobío,298,San Pedro De La Paz,3.0
2005,2005,8,Biobío,323,Tomé,1.0
2005,2005,9,Araucanía,92,Freire,2.0
2005,2005,9,Araucanía,135,Lautaro,2.0
2005,2005,9,Araucanía,230,Pucón,2.0
2005,2005,9,Araucanía,314,Temuco,22.0
2005,2005,9,Araucanía,338,Villarrica,4.0
2005,2005,10,Los Lagos,6,Ancud,1.0
2005,2005,10,Los Lagos,95,Frutillar,3.0
2005,2005,10,Los Lagos,141,Llanquihue,1.0
2005,2005,10,Los Lagos,191,Osorno,2.0
2005,2005,10,Los Lagos,233,Puerto Montt,11.0
2005,2005,12,Magallanes,179,Natales,2.0
2005,2005,12,Magallanes,238,Punta Arenas,15.0
2005,2005,13,Region Metropolitana Santiago,14,Buin,4.0
2005,2005,13,Region Metropolitana Santiago,23,Calera De Tango,1.0
2005,2005,13,Region Metropolitana Santiago,35,Cerrillos,23.0
2005,2005,13,Region Metropolitana Santiago,36,Cerro Navia,7.0
2005,2005,13,Region Metropolitana Santiago,59,Colina,7.0
2005,2005,13,Region Metropolitana Santiago,65,Conchalí,13.0
2005,2005,13,Region Metropolitana Santiago,83,El Bosque,2.0
2005,2005,13,Region Metropolitana Santiago,85,El Monte,1.0
2005,2005,13,Region Metropolitana Santiago,90,Estacion Central,40.0
2005,2005,13,Region Metropolitana Santiago,110,Huechuraba,4.0
2005,2005,13,Region Metropolitana Santiago,112,Independencia,18.0
2005,2005,13,Region Metropolitana Santiago,117,La Cisterna,5.0
2005,2005,13,Region Metropolitana Santiago,120,La Florida,32.0
2005,2005,13,Region Metropolitana Santiago,121,La Granja,5.0
2005,2005,13,Region Metropolitana Santiago,124,La Pintana,1.0
2005,2005,13,Region Metropolitana Santiago,125,La Reina,11.0
2005,2005,13,Region Metropolitana Santiago,134,Las Condes,272.0
2005,2005,13,Region Metropolitana Santiago,143,Lo Barnechea,9.0
2005,2005,13,Region Metropolitana Santiago,144,Lo Espejo,4.0
2005,2005,13,Region Metropolitana Santiago,145,Lo Prado,1.0
2005,2005,13,Region Metropolitana Santiago,160,Macul,14.0
2005,2005,13,Region Metropolitana Santiago,162,Maipú,60.0
2005,2005,13,Region Metropolitana Santiago,172,Melipilla,3.0
2005,2005,13,Region Metropolitana Santiago,186,Ñuñoa,47.0
2005,2005,13,Region Metropolitana Santiago,197,Paine,6.0
2005,2005,13,Region Metropolitana Santiago,205,Pedro Aguirre Cerda,10.0
2005,2005,13,Region Metropolitana Santiago,211,Peñaflor,3.0
2005,2005,13,Region Metropolitana Santiago,212,Peñalolén,16.0
2005,2005,13,Region Metropolitana Santiago,228,Providencia,167.0
2005,2005,13,Region Metropolitana Santiago,231,Pudahuel,11.0
2005,2005,13,Region Metropolitana Santiago,232,Puente Alto,43.0
2005,2005,13,Region Metropolitana Santiago,249,Quilicura,35.0
2005,2005,13,Region Metropolitana Santiago,256,Quinta Normal,6.0
2005,2005,13,Region Metropolitana Santiago,262,Recoleta,161.0
2005,2005,13,Region Metropolitana Santiago,264,Renca,7.0
2005,2005,13,Region Metropolitana Santiago,280,San Bernardo,21.0
2005,2005,13,Region Metropolitana Santiago,290,San Joaquín,6.0
2005,2005,13,Region Metropolitana Santiago,293,San Miguel,13.0
2005,2005,13,Region Metropolitana Santiago,300,San Ramón,2.0
2005,2005,13,Region Metropolitana Santiago,307,Santiago,430.0
2005,2005,13,Region Metropolitana Santiago,310,Talagante,12.0
2005,2005,13,Region Metropolitana Santiago,340,Vitacura,24.0
2005,2005,13,Region Metropolitana Santiago,346,Lampa,1.0
2005,2005,14,Los Ríos,127,La Unión,1.0
2005,2005,14,Los Ríos,196,Paillaco,3.0
2005,2005,14,Los Ríos,200,Panguipulli,2.0
2005,2005,14,Los Ríos,329,Valdivia,8.0
2005,2005,15,Arica y Parinacota,12,Arica,7.0
2006,2006,1,Tarapacá,5,Alto Hospicio,3.0
2006,2006,1,Tarapacá,113,Iquique,369.0
2006,2006,2,Antofagasta,9,Antofagasta,42.0
2006,2006,2,Antofagasta,19,Calama,12.0
2006,2006,2,Antofagasta,321,Tocopilla,2.0
2006,2006,3,Atacama,68,Copiapó,6.0
2006,2006,3,Atacama,81,Diego De Almagro,2.0
2006,2006,3,Atacama,330,Vallenar,4.0
2006,2006,4,Coquimbo,69,Coquimbo,9.0
2006,2006,4,Coquimbo,126,La Serena,9.0
2006,2006,4,Coquimbo,192,Ovalle,6.0
2006,2006,5,Valparaíso,151,Los Andes,5.0
2006,2006,5,Valparaíso,252,Quillota,16.0
2006,2006,5,Valparaíso,253,Quilpué,1.0
2006,2006,5,Valparaíso,279,San Antonio,2.0
2006,2006,5,Valparaíso,285,San Felipe,4.0
2006,2006,5,Valparaíso,331,Valparaiso,7.0
2006,2006,5,Valparaíso,337,Villa Alemana,3.0
2006,2006,5,Valparaíso,339,Viña Del Mar,37.0
2006,2006,6,O'Higgins,159,Machalí,2.0
2006,2006,6,O'Higgins,223,Placilla,1.0
2006,2006,6,O'Higgins,259,Rancagua,6.0
2006,2006,6,O'Higgins,286,San Fernando,1.0
2006,2006,7,Maule,57,Colbún,1.0
2006,2006,7,Maule,204,Parral,2.0
2006,2006,7,Maule,275,Romeral,1.0
2006,2006,7,Maule,311,Talca,2.0
2006,2006,8,Biobío,11,Arauco,1.0
2006,2006,8,Biobío,41,Chiguayante,2.0
2006,2006,8,Biobío,43,Chillán,8.0
2006,2006,8,Biobío,64,Concepción,35.0
2006,2006,8,Biobío,106,Hualpén,1.0
2006,2006,8,Biobío,107,Hualqui,2.0
2006,2006,8,Biobío,152,Los Angeles,7.0
